size , selection , insertion , mergesort , quicksort , heapsort
0,1,0,1,1,1,
500,633,331,117,92,117,
1000,2298,1338,241,203,258,
1500,5127,3379,384,327,398,
2000,8989,5673,532,456,567,
2500,14015,8421,655,547,752,
3000,20273,12285,812,741,865,
3500,27197,16927,942,812,1029,
4000,35566,21334,1092,928,1208,
4500,44834,26742,1242,1181,1377,
5000,55108,32946,1404,1239,1524,
5500,66500,39518,1547,1356,1686,
6000,79042,47360,1694,1484,1851,
6500,92590,54956,1848,1650,2030,
7000,107217,65100,2016,1831,2211,
7500,123135,74921,2196,1942,2394,
8000,140291,84029,2341,2116,2581,
8500,158837,95766,2463,2199,2726,
9000,181073,107922,2640,2393,2946,
9500,196829,118485,2788,2484,3122,
10000,217989,133035,2946,2761,3272,
