n  , quick sort , merge sort , heap sort , insertion sort , selection sort
0,1,1,0,0,0,
5000,1328,1096,1376,16203,55170,
10000,2992,2299,3012,63397,218293,
15000,4197,3537,4887,137533,490404,
20000,6935,4982,6410,247758,870730,
25000,8060,6378,7993,384456,1361744,
30000,9509,7699,9913,556024,1959918,
35000,11266,8825,12415,757983,2669762,
40000,14033,10192,13603,996485,3488816,
45000,15961,11654,15126,1259858,4407036,
50000,17696,13074,16991,1632435,5433904,
55000,19775,16625,21305,1878198,6588247,
60000,21816,16347,20585,2230289,7840473,
65000,22309,17615,22663,2617559,9213840,
70000,24061,19125,24841,3040968,10676479,
75000,26762,21418,26312,3506043,12225864,
80000,29581,21547,28248,3955161,13929420,
85000,35195,23006,30606,4476939,15735604,
90000,34572,24269,31850,5017811,17621928,
95000,35561,25744,33964,5583434,19616893,
100000,36996,28136,35975,6191285,21703695,
