n  , quick sort , merge sort , heap sort , insertion sort , selection sort
0,1,1,0,0,0,
5000,1223,1517,1551,35874,54862,
10000,2692,3208,3355,140937,217264,
15000,4196,4983,5597,313883,487989,
20000,5774,7108,7261,560050,865900,
25000,7284,8777,9353,885429,1354999,
30000,8941,10771,11454,1255552,1947148,
35000,10588,12530,13527,1716534,2660703,
40000,12292,14377,15640,2251290,3467088,
45000,13868,16339,17762,2837390,4440243,
50000,15798,18360,20078,3663584,5417445,
55000,17393,20406,22182,4256237,6558755,
60000,19218,22308,24342,5063930,7808965,
65000,21024,24122,26536,5916928,9136983,
70000,22590,26476,28806,6876004,10592086,
75000,24426,28390,31150,7921751,12166272,
80000,25878,30374,33318,9000551,13844151,
85000,29036,32782,35900,10153642,15624452,
90000,29542,34396,41210,11394057,17531079,
95000,31717,36441,40814,12651315,19509671,
100000,33673,38231,42768,14069638,21593542,
