size , selection , insertion , mergesort , quicksort , heapsort
0,1,1,0,0,0,
500,565,4,77,1688,106,
1000,2193,8,162,6931,233,
1500,4991,11,259,15815,369,
2000,8736,16,344,27117,470,
2500,13540,20,444,41880,607,
3000,19609,23,541,60236,727,
3500,26890,39,645,81854,867,
4000,38110,31,726,110870,1013,
4500,44411,35,844,139102,1153,
5000,54510,39,935,166670,1263,
5500,65914,42,1040,201962,1407,
6000,78459,46,1169,240474,1550,
6500,92049,50,1245,281950,1688,
7000,106271,53,1333,326570,1811,
7500,126199,58,1452,382011,1950,
8000,139739,61,1559,428325,2088,
8500,157289,65,1657,494364,2265,
9000,176452,69,1762,540594,2376,
9500,195549,72,1867,599631,2514,
10000,216674,76,1984,669711,2757,
